Study	Donor	Recipient	# SNPs
Braun et al. 2021	EPI_ISL_484952	EPI_ISL_484911	0
Braun et al. 2021	EPI_ISL_484973	EPI_ISL_484977	0
Braun et al. 2021	EPI_ISL_484976	EPI_ISL_495484	0
Braun et al. 2021	EPI_ISL_495461	EPI_ISL_509895	0
Braun et al. 2021	EPI_ISL_509876	EPI_ISL_509982	0
Braun et al. 2021	EPI_ISL_509876	EPI_ISL_509991	0
Braun et al. 2021	EPI_ISL_509876	EPI_ISL_509986	0
Braun et al. 2021	EPI_ISL_509982	EPI_ISL_509991	0
Braun et al. 2021	EPI_ISL_509982	EPI_ISL_509986	0
Braun et al. 2021	EPI_ISL_509991	EPI_ISL_509986	0
Braun et al. 2021	EPI_ISL_509897	EPI_ISL_509878	0
Braun et al. 2021	EPI_ISL_509897	EPI_ISL_509866	2
Braun et al. 2021	EPI_ISL_509878	EPI_ISL_509866	2
Braun et al. 2021	EPI_ISL_428254	EPI_ISL_428256	0
Braun et al. 2021	EPI_ISL_436627	EPI_ISL_436628	0
Braun et al. 2021	EPI_ISL_425176	EPI_ISL_427427	0
James et al. 2020	EPI_ISL_467433	EPI_ISL_467467	2
James et al. 2020	EPI_ISL_467433	EPI_ISL_467435	1
James et al. 2020	EPI_ISL_467433	EPI_ISL_467458	1
James et al. 2020	EPI_ISL_467446	EPI_ISL_467468	0
James et al. 2020	EPI_ISL_467446	EPI_ISL_467451	0
James et al. 2020	EPI_ISL_467444	EPI_ISL_467466	1
James et al. 2020	EPI_ISL_467444	EPI_ISL_467456	1
James et al. 2020	EPI_ISL_467444	EPI_ISL_467455	1
James et al. 2020	EPI_ISL_467444	EPI_ISL_467432	1
James et al. 2020	EPI_ISL_467444	EPI_ISL_467433	0
James et al. 2020	EPI_ISL_467444	EPI_ISL_467442	0
Lythgoe et al. 2021	NA	NA	0
Lythgoe et al. 2021	NA	NA	2
Lythgoe et al. 2021	NA	NA	1
Lythgoe et al. 2021	NA	NA	0
Lythgoe et al. 2021	NA	NA	0
Lythgoe et al. 2021	NA	NA	0
Lythgoe et al. 2021	NA	NA	1
Lythgoe et al. 2021	NA	NA	2
Lythgoe et al. 2021	NA	NA	0
